stage,domain,params,avg_forgetting,old_memory_drift,knowledge_localization,routing_sparsity,avg_loss
0,Medical,5933312,0.0,0.012288127792999148,7.2144596030718855,0.8,23.982424998283385
1,Law,6129920,0.06653671264648509,3.789250968111446e-05,6.926128880373682,0.75,24.11474988460541
2,Finance,6326528,-0.7412219047546378,3.493421058919921e-05,5.940235819974379,0.75,24.158003902435304
3,Code,6523136,-0.5105150222778304,3.297366515653266e-05,7.030170037142407,0.75,23.788330793380737
4,Math,6719744,-0.354204607009887,3.1571793670082116e-05,7.2395161957108085,0.75,24.014794969558714
5,ChineseWiki,6916352,-0.06949337005615205,3.0500780326292443e-05,7.285340524206566,0.75,24.17062072753906
6,EnglishWiki,7112960,-0.4585600852966302,2.9673076937797305e-05,6.101202054002312,0.75,23.898369884490968
7,Reasoning,7309568,-0.4045777729579382,2.901615584960382e-05,6.803337722034932,0.75,23.860591745376585
