stage,domain,params,avg_forgetting,old_memory_drift,knowledge_localization,routing_sparsity,avg_loss
0,Medical,5933312,0.0,0.011948729457799345,7.395256789001282,0.7,25.08909192085266
1,Law,6129920,0.8885242462158214,3.7692196883654105e-05,7.672349954936972,0.75,24.332927322387697
2,Finance,6326528,0.9810914993286133,3.624212354225165e-05,8.491358860190061,0.75,24.223109245300293
3,Code,6523136,1.2075852076212559,3.5294916187922354e-05,10.555017730846732,0.75,24.48650715351105
4,Math,6719744,0.9012988567352282,3.454192346907803e-05,11.10870568577296,0.75,24.387738728523253
5,ChineseWiki,6916352,0.9741110610961907,3.37938417942496e-05,9.078602612437717,0.75,24.419611239433287
6,EnglishWiki,7112960,-0.1397054672241215,3.328018874526606e-05,9.816673680066598,0.75,23.418706941604615
7,Reasoning,7309568,0.04330536978585288,3.292490896456002e-05,9.882706550853433,0.75,23.42494831085205
