Method,Avg Forgetting,Avg Drift,Localization,Routing Sparsity
NoLock,0.6070263466948551,0.0015240624446732909,9.25008398301322,0.74375
HookLock,-0.3090045062133238,0.0015643362481512213,6.817548854564622,0.75625
