,Task_A,Task_B,Task_C,Task_D,Task_E
Task_A,0.0,29.784393588081002,33.415519991889596,40.25112942792475,43.821396151557565
Task_B,0.0,0.0,26.611788749694824,31.112906455993652,34.140543937683105
Task_C,0.0,0.0,0.0,28.602078437805176,33.457627296447754
Task_D,0.0,0.0,0.0,0.0,27.391659259796143
Task_E,0.0,0.0,0.0,0.0,0.0
