stage,expand_dim,params,avg_loss,delta_loss
0,0,4909312,1.9708616733551025,0.0
1,32,5007616,0.036158684020241104,1.9347029893348615
2,64,5204224,0.004700481522983561,0.031458202497257545
3,128,5597440,0.002998011298283624,0.0017024702246999372
4,256,6383872,0.0029822019411464376,1.5809357137186453e-05
5,512,7956736,0.002969990608714094,1.2211332432343625e-05
6,768,10316032,0.002961758749127815,8.23185958627893e-06
7,1024,13461760,0.0029554239044955466,6.334844632268407e-06
8,1536,18180352,0.0029495267675277623,5.89713696778427e-06
