stage,domain,params,avg_forgetting,old_memory_drift,avg_loss
0,Medical,4909312,0.0,0.014450111822720537,45.84266923245741
1,Law,5105920,15.182688842061907,1.1597582457359246e-05,41.62964381277561
2,Finance,5302528,20.651827817084268,1.1607847672495792e-05,40.67001115530729
3,Code,5499136,25.32384016442423,1.1732710690728012e-05,37.12316044943873
4,Math,5695744,27.155524335219525,1.1898108223636457e-05,34.52101111289812
5,ChineseWiki,5892352,29.551987142860888,1.2048306048877458e-05,32.38313638221007
6,EnglishWiki,6088960,29.711380232280742,1.2129953826475453e-05,29.30988934810739
7,Reasoning,6285568,29.748099622183613,1.221413797193623e-05,26.18070599582279
