stage,expand_dim,params,avg_loss,delta_perf,delta_param,efficiency
0,0,4909312,9.226257228851319,0.0,0,0.0
1,64,5105920,2.502731370925903,6.723525857925416,196608,3.419762094078275e-05
2,128,5499136,0.10780507922172547,2.3949262917041776,393216,6.090612517558231e-06
3,256,6285568,0.007458181120455265,0.1003468981012702,786432,1.2759767926695533e-07
4,512,7858432,0.0055365449283272024,0.0019216361921280626,1572864,1.2217433879394929e-09
5,768,10217728,0.004826067481189966,0.0007104774471372362,2359296,3.0113959720918286e-10
6,1024,13363456,0.0044800926931202415,0.0003459747880697247,3145728,1.0998242316873064e-10
